treeSize (#nodes), Train Score, Test Score
3,0.384271671135,0.59375
5,0.384271671135,0.59375
7,0.387846291332,0.539583333333
9,0.393208221626,0.49375
11,0.421805183199,0.554166666667
13,0.422698838248,0.539583333333
15,0.422698838248,0.539583333333
17,0.425379803396,0.5375
19,0.425379803396,0.5375
21,0.425379803396,0.5375
23,0.426273458445,0.529166666667
25,0.426273458445,0.529166666667
27,0.433422698838,0.5125
29,0.445933869526,0.564583333333
31,0.45308310992,0.554166666667
33,0.45308310992,0.554166666667
35,0.456657730116,0.54375
37,0.46291331546,0.535416666667
39,0.467381590706,0.497916666667
41,0.470956210903,0.497916666667
43,0.47363717605,0.497916666667
45,0.47363717605,0.497916666667
47,0.479892761394,0.497916666667
49,0.479892761394,0.466666666667
51,0.481680071492,0.466666666667
53,0.48436103664,0.466666666667
55,0.492403932082,0.472916666667
57,0.497765862377,0.46875
59,0.500446827525,0.46875
61,0.503127792672,0.470833333333
63,0.505808757819,0.472916666667
65,0.507596067918,0.466666666667
67,0.509383378016,0.464583333333
69,0.512064343164,0.447916666667
71,0.512064343164,0.447916666667
73,0.514745308311,0.460416666667
75,0.516532618409,0.460416666667
77,0.518319928508,0.460416666667
79,0.518319928508,0.460416666667
81,0.521000893655,0.460416666667
83,0.522788203753,0.45625
85,0.525469168901,0.454166666667
87,0.529043789097,0.454166666667
89,0.532618409294,0.454166666667
91,0.540661304736,0.460416666667
93,0.543342269884,0.460416666667
95,0.545129579982,0.460416666667
97,0.548704200179,0.45
99,0.551385165326,0.447916666667
101,0.551385165326,0.447916666667
103,0.552278820375,0.458333333333
105,0.554066130474,0.45
107,0.556747095621,0.45
109,0.558534405719,0.447916666667
111,0.562109025916,0.452083333333
113,0.563896336014,0.452083333333
115,0.565683646113,0.454166666667
117,0.567470956211,0.447916666667
119,0.569258266309,0.44375
121,0.571045576408,0.44375
123,0.572832886506,0.445833333333
125,0.575513851653,0.44375
127,0.578194816801,0.4625
129,0.581769436997,0.464583333333
131,0.581769436997,0.466666666667
133,0.586237712243,0.464583333333
135,0.588918677391,0.466666666667
137,0.590705987489,0.466666666667
139,0.593386952636,0.46875
141,0.597855227882,0.4875
143,0.59964253798,0.485416666667
145,0.601429848079,0.489583333333
147,0.601429848079,0.489583333333
149,0.605898123324,0.477083333333
151,0.606791778374,0.479166666667
153,0.606791778374,0.472916666667
155,0.61036639857,0.477083333333
157,0.613047363718,0.477083333333
159,0.615728328865,0.477083333333
161,0.615728328865,0.477083333333
163,0.618409294013,0.477083333333
165,0.620196604111,0.477083333333
167,0.621983914209,0.472916666667
169,0.624664879357,0.475
171,0.626452189455,0.477083333333
173,0.629133154602,0.479166666667
175,0.63181411975,0.4625
177,0.632707774799,0.4625
179,0.632707774799,0.454166666667
181,0.633601429848,0.45625
183,0.640750670241,0.45
185,0.64253798034,0.447916666667
187,0.64253798034,0.441666666667
189,0.643431635389,0.439583333333
191,0.647006255585,0.441666666667
193,0.649687220733,0.447916666667
195,0.651474530831,0.45
197,0.653261840929,0.447916666667
